data;mes;num_mes;ano;vacinados;novos_vacinados;segunda_dose
27/01/2021;janeiro;1;2021;1092;1092;0
28/01/2021;janeiro;1;2021;1207;115;0
29/01/2021;janeiro;1;2021;1233;26;0
30/01/2021;janeiro;1;2021;1278;45;0
31/01/2021;janeiro;1;2021;1278;0;0
01/02/2021;fevereiro;2;2021;1310;32;0
02/02/2021;fevereiro;2;2021;1384;74;0
03/02/2021;fevereiro;2;2021;1458;74;0
04/02/2021;fevereiro;2;2021;1551;93;0
05/02/2021;fevereiro;2;2021;1733;182;0
06/02/2021;fevereiro;2;2021;2090;357;0
07/02/2021;fevereiro;2;2021;2090;0;0
08/02/2021;fevereiro;2;2021;2664;574;0
09/02/2021;fevereiro;2;2021;2748;84;0
10/02/2021;fevereiro;2;2021;2803;55;0
11/02/2021;fevereiro;2;2021;3362;559;0
12/02/2021;fevereiro;2;2021;3524;162;0
13/02/2021;fevereiro;2;2021;3577;53;0
14/02/2021;fevereiro;2;2021;3577;0;0
15/02/2021;fevereiro;2;2021;3577;0;0
16/02/2021;fevereiro;2;2021;3591;14;0
17/02/2021;fevereiro;2;2021;3592;1;0
18/02/2021;fevereiro;2;2021;3681;89;0
19/02/2021;fevereiro;2;2021;3691;10;783
20/02/2021;fevereiro;2;2021;3728;37;1011
21/02/2021;fevereiro;2;2021;3728;0;1011
22/02/2021;fevereiro;2;2021;3747;19;1068
23/02/2021;fevereiro;2;2021;3763;16;1098
24/02/2021;fevereiro;2;2021;3779;16;1153
25/02/2021;fevereiro;2;2021;3860;81;1189
26/02/2021;fevereiro;2;2021;3913;53;1224
27/02/2021;fevereiro;2;2021;4420;507;1284
28/02/2021;fevereiro;2;2021;4420;0;1284
01/03/2021;março;3;2021;4484;64;1313
02/03/2021;março;3;2021;5054;570;1320
03/03/2021;março;3;2021;5069;15;1359
